Portein1	Protein2	Interaction value	Classifier	GeneSymbol
1080	center			CFTR
383911	1080	0.538708405	Calcium Signaling	ESYT2
390075	1080	1	Uncharacterized	ZNF281
380545	1080	0.490754941	Cytoskeleton	MYH7B
386443	1080	0.432255998	Cytoskeleton	MYO1G
379526	1080	0.507485387	Signaling	STRAP
389375	1080	0.507485387	Uncharacterized	MX1
387879	1080	1	Endocytosis	AHSG
385987	1080	0.507485387	Uncharacterized	MEN1
397285	1080	0.3628319	Cytoskeleton	MYO1C
387645	1080	0.551491759	Endocytosis	HAX1
382706	1080	0.591402057	Degradation	PSMD11
397024	1080	0.588582858	Degradation	PSMD12
381699	1080	0.538708405	Signaling	PGRMC1
393241	1080	0.538708405	Translation	EIF3F
386425	1080	0.530665239	RNA processing	IGF2BP3
388835	1080	1	Post translational modification	PLOD2
383530	1080	0.432255998	Degradation	PSMD14
384051	1080	1	Signaling	PPP6C
382287	1080	0.344243255	Trafficking	COPE
388302	1080	0.582714776	Lipid Metabolism	PTGES
381575	1080	0.533659445	Degradation	PSMA7
379884	1080	0.582714776	Signaling	PPP1R12A
380685	1080	0.591402057	Nuclearimport	XPO1
396689	1080	0.553599263	Calcium Signaling	ATP2A1
388311	1080	0.518920487	Trafficking	SEC16A
396921	1080	0.582714776	Nuclearimport	KPNA5
388286	1080	0.540165246	ER quality control	SURF4
381638	1080	0.507485387	Signaling	KIAA0406
381089	1080	0.371519181	Metabolism	PHGDH
386319	1080	0.551491759	Trafficking	DYNC1LI2
382646	1080	0.555438851	Degradation	PSMD3
380815	1080	0.507485387	Trafficking	ZW10
385436	1080	0.512913172	Trafficking	ACTN4
385221	1080	0.42625817	Cytoskeleton	MYO1B
383563	1080	0.408037545	Immune response	LANCL1
385210	1080	0.582714776	Folding	CALU
380139	1080	0.463479016	Lipid Metabolism	ACSL4
379545	1080	0.463479016	Nuclearimport	KPNA6
379089	1080	0.463479016	N-glycosylation	DPM1
380172	1080	0.529658743	Folding	DNAJA2
382361	1080	0.494702033	Folding	DNAJB6
427206	1080	0.582714776	Apoptosis	PDCD6
386394	1080	0.339523683	Plasma membrane microdomain organization / anchoring	FLNB
397601	1080	0.486014753	Metabolism	PECI
383636	1080	0.463479016	Mitochondrial function	SLC25A12
391516	1080	0.626721148	Mitochondrial function	ATP5H
385624	1080	0.582714776	N-glycosylation	GFPT2
393505	1080	0.388249627	Cytoskeleton	MYO1D
382052	1080	0.507485387	Degradation	UBR5
384624	1080	0.432255998	Trafficking	VAPB
400335	1080	0.463479016	Nuclearimport	IPO7
384594	1080	0.521977959	Lipid Metabolism	ACSL3
381607	1080	0.701950537	Lipid Metabolism	CDS2
384641	1080	0.507485387	Translation	STAU1
383160	1080	0.582714776	Degradation	BAG2
388706	1080	0.463479016	Degradation	BAG3
382101	1080	0.60693323	Uncharacterized	CLPTM1
386070	1080	0.468774362	Metabolism	LDHA
388341	1080	0.582714776	Metabolism	GLUD1
397596	1080	0.582714776	Mitochondrial function	MT-CO2
388083	1080	0.582714776	Signaling	EGFR
381756	1080	0.257578767	Metabolism	PGK1
383887	1080	0.626721148	Degradation	SERPINC1
384856	1080	0.432255998	Immune response	C3
384328	1080	0.344243255	Degradation	CSTA
389792	1080	0.485705981	Nuclearimport	LMNA
381040	1080	0.488833952	Transcription	TF
379406	1080	0.463479016	Immune response	LTF
382889	1080	0.505418028	Immune response	HPX
391553	1080	0.507485387	Metabolism	FTH1
382764	1080	0.674674611	Cell adhesion	VTN
388491	1080	0.338375174	Metabolism	ALDOA
386182	1080	0.626721148	Calcium Signaling	ANXA1
384964	1080	0.582714776	Degradation	CAPNS1
387337	1080	0.507485387	Apoptosis	TP53
382396	1080	0.469682594	Folding	HSPB1
390446	1080	0.457092876	N-glycosylation	RPN1
396071	1080	0.408037545	Degradation	ISG15
386741	1080	0.592588222	Translation	RPLP1
393728	1080	0.532840324	Translation	RPLP2
380929	1080	0.497487833	Translation	RPLP0
382981	1080	0.482568969	Cytoskeleton	KRT18
396043	1080	0.507485387	Immune response	PTMA
